"Story","Highlights"
"firm small pieces intense licorice flavor love black licorice trying different gluten free options ordering one","dense licorice flavor"
"know whether fault packaging past prime rock hard flavor strong enough","kind of stale"
"disappointment use products line manufacturer regular basis bought item convenience carry liquid stevia purse first time went use liquid dark color almost black throw latte trying sweeten manufacturer liquid products clear fact titled clear liquid must outdated spoiled already thrown packing know dated tried calling amazon supplier call rolled voice mail enough money spend time following disappointing","must have been spoiled"
"cans lined w material contains bpa means effort grow tomatoes organically waste time <br ><br >12 5 10 see liner opened different case scratching head","bisphenol a"
"tomatoes taste like home canned summer heirloom tomatoes longer available farmers market serve excellent reminder past season promise next originally bought organic tomatoes stepfather whose heart disease dictated low sodium diet incredibly low sodium soon bought tried local organic grocery store sprouts stopped carrying turned amazon case much staple pantry olive oil","spectacular tomatoes"
"ingredients simple pure one brands add unnecessary additives generally like make sauce scratch second choice short time taste good artificially sweet love bionaturae products including tomato paste","next best thing to fresh tomatoes"
"best canned tomatoes tasted fresh flavor similar home canned second time buying set little acidic bright rounder flavor tomatoes comes basil leaf note 28 oz tins better value 14 oz ones","excellent tomatoes"
"arent diced mush like bpa would buy reason dont expect diced","ok"
"well one friends asked really big bag gummy bears pleased opened box co worker really like gummy bears","gummy bears"
"eating since 5 years old favorite chips world dont eat many","too addicting"
"love chips could contain happiness recieved box love love spicy foods get","yummmmy"
"ordered lollipops friends wizard oz themed shower arrived packaged well noticed box said oriental trading company wanted cheap product knew low quality china would bought directly site 7 38 however picture looked well made picture deceiving description show 16 colored lollipops mine came variety colors also gave dimentions lollipops 6 x2 noticed looked bit small measured even come 5 long even though differnet lengths disappointing since planned stand vase lemon drops overall disappointed product seller honest product providing consumers","false advertising"
"purchased give children come place business arrived says clearly back individual wrapper made china way giving children manufactured china following whole poisoned pet food debacle fact made china needs highlighted much clearly","made in china"
"ordered 48 lollipops use party favors disappointed front back candy writing rewrapped using clear bags purchased michaels also cracked broken luckily ordered enough unwrapped adorable","mini lollipops"
"used bunch colored lollipops friend birthday got kick complaining feeling old threw kid themed party great time think possible eat one spiral lollipops without feeling like kid","very cute "
"used lollipops candy princess costume daughter came perfect condition exactly like picture shows come group 16 great value extremely satisfied","perfect lollipops"
"purchased candy buffet wedding impressed could saved money ordering directly oriental trading company clearly came look cheap colorful shown picture oriental trading company information back wrappers lollipops lollipop sticks bent two lollipops arrived broken box 12 lollipops description says 16 would expected knew coming oriental trading company description feel ripped","not what i expected"
"purchased go along candyland costume halloween shipped quickly packaged securely bubble wrap none lollipops broken transit <br ><br >it turns costume ordered another seller fit made cheap material could even alter fit since return costume requested return well immediately fully refunded without even asked ship lollipops back five stars amazing service <br ><br >now think hand lollipops rest halloween candy think kids neighborhood love","great service"
"bought lollipops daughter 3rd birthday super cute kids loved definitely met expectations","loved these"
"got sons 3rd birthday got candy station birthday wanted put colorful lollipops part candy station perfect idea","lollipops"
"lollipops pictured came assorted colors really drab rainbow brights shown picture also completely flat rather rolled old fashioned candy style look cheap need birthday party really disappointed received","not as pictured"
"candy lover wanted buy cute lollipops could pull bag enjoy whenever felt like purpose alone would give five stars however first lick lollipop slightly taste goes away minute unbearable disgusting way laughed quite bit reviews outraged individuals lollipops made china dead dying sick good enough well text wrapper fine repulsed afraid share would rewrap presentation rather eating <br >the colors vivid picture lolipops glazed shiny look many others none mine came broken well wrapped happy purchase plan eating minus share friends would try something different next time","slightly funny taste to begin with  but i cannot stop eating them "
"used daughters candy land birthday party kids loved full size still sooooo cute","great for birthday themed party"
"bought birthday perfect arrived uncracked wrapped really well super cute perfect 4 year olds","fun stuff"
"ordered lollipops party favors son 1st birthday party lollipops 2 inches used 1 5 inch thank stickers cute description states 16 lollipops included order ordered 2 boxes received 12 lollipops box contacted seller customer service received response apology right away promptly corrected order pleasantly surprised receive another full box 12 8 expected lollipops wrapped bubble wrap three boxes one lollipop cracked big deal since receive extra box great lollipop great price","very cute pops"
"opened product find lollipops broke disappointed package product way would help keep breaking better buying store around area","shipping"
"comical considered toy bought decoration circus themed baby shower arrived perfect condition used vases surrounded colored crinkle cut paper used centerpieces buffet table lots compliments kept plan use future parties consumed idea taste","small swirled lollipops"
"got part party favor rainbow birthday party actually tasted lollipops cute wrappers writing wish would much cuter without writing bit smaller expected slightly larger regular lollipop arrived broken really well packaged looked cute party","cute  small lollipops  a few arrived broken"
"arrived securely packaged even chip one lollipop also tasted really good looked pretty sister baby shower would buy suggest future buyers","great product "
"anyone low carb eating program period time tell gets boring new dixie carb counters line pleasantly surprised excellent taste low carb lines like atkins terrible aftertaste require user great imagination yes really supposed chocolate bar dixie carb items great easy make nice portion size great taste imagination required really muffin sugar alcohol issue little pricey otherwise perfect","apple cinnamon muffins"
"going guess yuck mix right frankly taste surprisingly good considering supposed lo carb easy make non diabetic house thinks tasty agree price pretty outrageous though","excellent product"
"muffin mix awful taste flour sour cream used make tastes wierd tried tried <br >there good tasting low carb treats esp diabetics","yuck"
"love salsa tried many market served dippin fiesta recent sunday football get together got rave reviews maybe best salsa ever tasted served want taste best try one","marianne"
"spent first five years life brazil american parents spoke portuguese fluently introduced brazilian food culture one favorite foods ever lingering memory brazil fluffy moist made tapioca flour little rolls nothing like american cheese bread seriously hard describe taste one hot oven fabulous cold <br ><br >yoki best maker dry mix add eggs oil pop oven easy delicious treat side dish never turn wrong","favorite thing about brazil"
"made recently holiday party never seen anything go fast <br ><br >they easy make add ingredients mix throw oven definitely buying making","delicious and easy"
"good houston samba grill tasted great texture different lieu daily basis found something make would surely recommend anyonr","love taro"
"since gluten free tried types gf breads expensive knew brazilians bread game lock inexpensive tapioca version cheese bread custom probably skinny lol loved ordering whole lot","i was able to eat bread again "
"item got house time surprised well package packed recommend store anyone","service was good"
"tiny packets bought thinking regular size kids love product particular package outrageously expensive tiny packages sent back","mini mini is right "
"despite think ton fillers see ingredient list omaha site bad thing case unhealthy fillers delicious kids love serve one ball serving perfect healthy carb portion meal 1 piece following nutrition case wondering <br ><br >calories 120<br ><br >fat 4 5<br ><br >trans fat 0<br ><br >sodium 270<br ><br >carbohydrate 17<br ><br >protein 3<br ><br >for dinners try keep carb side 5 fat 25 carb fits perfectly taste superb baked oven come crispy outside moist tender inside grease keep hand instead french fries know cost taste better much healthier wait one sales buy several boxes time","yummy"
"perfect year round meat dish omaha steaks twice baked potatoes gourmet delight consistency whipped potatoes smooth little bits bacon peppers cheese add explosion flavor cook easily either conventional oven grill wrapped foil go ahead treat","the best twice baked potatoes you will ever have "
"christmas ordered coupons daughters school 30 00 ohama steaks excited try bombarded ads last 2 years ready test went line looked packages looking forward receiving package fine foods cook made choice fell last min add ons choice went pay use gift cards well use one time 2 15 00 naturally thought getting 30 00 total said still willing go ahead order 129 00 later ordered one package deals add ons received order ups 5 7 days packaged styro cooler packaged cooler several cardboard boxes vacuumed packaged tiny steaks person loves grill 4 nights week know little meat cook first high end dry aged meat wet aged inferior quality meat bought good butcher steaks 30 00 pound shipping high prices hamburgers tiny frozen pucks dry disappointed quantity quality really words describe disappointed whole deal top everything received e mail coupon 20 00 next order coupon purchased 5 00 line deals wow favor spend money good butcher shop grocery store","over rated  way over priced frozen meats"
"actually tasty pure potatoes great texture nasty filler stuff bacon cheese tasty potatoes cook well either oven microwave add touch either salt pepper fajita seasoning spice rated 4 5 stars could bit bigger portion however item fairly good value money","i like these "
"actually pretty good little potato puffs best cheese unless like sort thing nice actually find potato side dish cheese <br ><br >anyways surprisingly good toast nicely oven like 10 minutes worth 10","actually pretty good"
"potato crockets shape ball rather au gratin nevertheless yum yum yum","yum yum yum "
"happy product cooked potatoes flat look thing like product picture seen shipping cost much potatoes","not like the picture"
"love order type cooked potatoes great steak","now this is my kind of potato with steak"
"really like product tasted great took minutes make microwave","tasty and easy to make"
"good side dish easy make easy eat others said needs little spice delicious","very good"
"excellent order nice able order omaha items amazon amazon ships sooo fast payments convenient","potatoes"
"surprised size potatoes bought local grocery store disappointed small perfect tasty cook right love em","tasty  and perfect sized "
"potatoes good know would get garlic taste strong love garlic hoping got batch","yum"
"excellent tasty though thought enough garlic added order garlic guess expect perfect guests never offend anyone omaha always sure everything please customers premier company hard find anymore","tasty"
"along omaha prime rib great two plenty fill made toaster oven less 20 minutes","quick  easy  taste great"
"received 4 first ever omaha steaks order received today sure expect far pleased tore plastic open put frozen potato baking sheet oven put 350 45 minutes later done turned delicious cheese filling crispy top potato underneath nice soft way would come good put microwave would say oven cooking definitely way go obviously make stuffed baked potatoes far cheaper omaha charges alone long get good deal omaha website simply make great addition omaha steaks order delicious though would order box site due added shipping costs like said long part nicely priced packaged deal definitely take actually probably would order packaged deal future omaha include big plus least check ingredients list partially hydrogenated oils traces trans fats rare stuffed baked potatoes also high fructose corn syrup another rarity food product like always plus make buy frozen grocery store example chances butter used sour cream etc full chemicals trans fats high fructose corn syrup much definite degree quality omahas stuffed baked potatoes potato 8 grams saturated fat 42 drv obviously expected anything contains bacon cheese sour cream also expecting fiber turns 3grams fiber per baked potato half another plus overall stuffed baked potato tasty actually relatively healthy made quality ingredients","a "
"potatoes really good husband love way easy buying","so good "
"got mail today know right sounds weird say got hash browns mail haha come dry ice cooler box lil plastic bags stick baking sheet 35 min 400 degrees get oven smell cheese nice crunchy outside creamy potato inside want best side dish steak meat hey could even use breakfast eggs sausage choice get 5 5 taste 5 5 presentation buy great price thanks time thank omaha steaks best great prices","these are the best hash browns          "
"january 3 2011<br ><br >i purchased potatoes omaha steaks online last week sure expect au gratin potatoes seen tasted sliced potatoes globbs gooey cheese sauce looks certainly opened box got skillet first thing noticed things huge like gigantic tater tot browned sides 10 minutes surprise tasty texture light fluffy potatoes tasted extra fresh frozen freezer burned liked alot think perfect kids none flavors overpowering great texture give 4 stars","au gratin potatoes"
"good delicious easy prepare food would definitely order gourmet taste took minutes get ready yum","so good "
"like em nothing unique flavor basically saves make home little pricey treat heck","tasted ok     a bit overpriced tho"
"taste pretty good eat one poultry selections omaha steaks makes great meal","they are pretty good "
"potatoes pretty good eaten alone served meal really like potatoes easy choice","easy for a single lifestyle"
"omaha steaks 8 5 75 oz stuffed baked potatoes<br > <br >the stuffed baked potatoes unimpressive and<br >lacking flavor <br ><br >i tasted bacon chives <br ><br >however make attractive addition a<br >meal","unimpressed"
"potatoes good two 12 oz trays enough 4 adults really worth money honestly 10 two little trays lot even ease quality like said good easy prepare thankfully four us x mas dinner today would enough 24 oz potatoes sounds bigger lol omaha fault","mashed taters"
"prepare baked potatoes toaster oven perfect compliment hamburger steak chicken entree try like","taters    "
"good transaction omaha food sent properly already left one feedback","omaha chicken and stuffed baked potatoies"
"potatoes good along steaks hamburgers would definately recommend omaha steaks anyone looking gourmet dinner reasonable price","stuffed baked potatoes"
"big fan outburst energy bites peanut ones probably favorite reasonably priced great snack think peanut coffee since taste good tempting eat whole box claim lot caffeine feel like big coffee large energy drink usually give temptation <br ><br >i highly recommend","big fan "
"energy bites f ing rip face molten lava energy <br ><br >infinity energy f ing max ate whole box threw car baby <br ><br >f ing rave <br ><br >seriously great","maximum rave power"
"5000 00 diamond would cheaper ship 5000 00 car buy supplier ships price <br >this item 7 95 pay 11 95 20 00 shipping way would pay one jar","shipping by price  not weight "
"ingredient list product thought foods supposed would never buy food without first knowing","what  no ingredient list "
"originally found roasted garlic juice one roadside shops sell variety foodstuffs plants ice cream year ago unfortunately place business getting low glad find amazon could find anything even close grocery store 50 mile radius store managers saying never heard pure garlic juice told carried would sell lot <br ><br >i used product many dishes marinades flavor cannot beat pungent yet smooth bring flavor meat dish imagine prefer roasted cold pressed great way nice able pour spray <br ><br >bottom line garlic lover buy","great product  this is real garlic juice "
"great product especially like garlic need slicing dicing good thing right side stroke paralized garlic oily salty product plain roasted garlic lasts long time","spray garlic "
"love garlic spray much ordered grow garlic even bother juicing anymore product 150 cloves every bottle thats lot yummy garlic","garlic juice"
"love taste real garlic granulated brined stuff great flavoring agents especially popcorn liquid glazes rubs love choice roasted raw little goes long way first bought product 2 years ago despite using one least week needing replace <br >yum","now a staple"
"heard prickly pear tea forum decided try since since arizona better remembered tried first hot used remainder ice tea really good company delivered super fast great recommend tea highly particularly like prickly pear teas","delicious tea   "
"loose prickly pear tea makes great iced tea difficult find pure form tea black tea prickly pear flavor shipping cost twice cost tea prickly pear component undetectable drink tastes like regular black tea disappointing","cannot detect the prickly pear"
"butternut mountain maple syrup real deal grade b wonderful pancakes coffee anything would like sweetened <br >delivery timely product came expected recommend","maple syrup"
"received shipment could hardly wait try product love quot slickers quot call instead stickers removed easily daughter designed signs printed reverse use car windows printed beautifully print shop program going lot fun product windows everywhere surfaces like tv screens computer monitors","wow make your own  slickers   "
"really good idea final product outstanding use decals car window everybody asks bought decals made two thumbs","great product"
"years drinking red bull rockstar monster others found holy grail energy drinks kicks within 2 3 minutes lasts entire work day seven hours gradually come anxiety disphoria wears get sleepy finally rest <br ><br >redline power rush best product market illegal would buy black market nuff said","too good to be true "
"normal 15oz much spam one person 7oz version perfect make two sandwiches cut block half half cut 4 slices 4 slices perfect lay top toast salad green 2nd toast becomes quick filling lunch sandwich hike backpack need sodium replace electrolyte 2nd half become 2nd sandwich overnight backpacking dinner","perfect size "
"family loves spam amazon makes easy great deal buy bulk 7 ounce size perfect use amazing use spam add favorite recipes place meats super convenient come automatic shipments without give second thought","great deal and so convenient"
"long time since iv e eaten spam decided give try always left overs size simply enjoy every bit one serving","spam for any meal"
"well worth price large chocolate truffles taste amazing cannot wait amazon get 1 january 2012 browsed truffle page mini heart attack saw price 12 00 purchased 2011","omg  so good "
"disappointed frosting first time used frosting disappointed year gone thought maybe gotten bad container really thought twice buying wanted give pillsbury benefit doubt boy wrong times used frosting pretty much sagged cake cakes definitely cooled even put latest one freezer slice layers thawing fridge began ice sure enough putting frosting started slide cake product needs either marketed cupcake frosting recipe needs tweaked needs pulled shelves together shame trying second time","horrible "
"excellent product crab cakes made lump style crabmeat family tradition christmas holidays 40 years local grocery stores carry lump style offer fancy minced crab meat ok satisfatory lump style","crab cakes delight"
"bought good feedback bad luck canned crab hoping product different previous canned crab alas little better unfortunately canned crab seems good stick fresh expensive crab","just ok  i guess that all canned crab is not that great"
"treats ones 14 year old dog eat loves","very healthful treat for dogs"
"play eating since small acts like tiny ball expensive less amazon pet store","my yorkiepoo loves these "
"three small dogs one favorite treats worry choking feel giving healthy treat please ever stop making pet n shape","great choice for little dogs"
"terrific english triffle beware though pack 6 6 containers makes gallon pudding","barb"
"made customary authentic english trifle bird custard powder might want go back usual grocery store pudding packages purchase large quantity bird custard power pack six packs longish shelf life enjoyed sending surprise pack container friend originally england <br ><br >at christmas also include container bird custard powder special relatives friends learn easy make excellent trifle product non english family friends include laminated instructions based successes bird custard recipe trifle <br ><br >english trifle easy make following bird custard powder store bought pound cake thawed frozen fruit sherry wine slightly sweetened juice thawed frozen fruit poured small slices cake final touch add non dairy whipped creme delicious inexpensive highly recommend product pleased able purchase amazon price six containers reasonable almost unreal go","the true  the classic custard for authentic  yummy english trifle"
"found recent trip england find soon got home <br >it standard brits us around forever <br >you use many ways pies trifle donuts <br >cakes fresh fruit whipped cream even french toast","delicious  best custard ever "
"england raised custard like vanilla custard pudding love rich creamy lots vanilla taste love comes big canister make much want would never make trifle anything else","best vanilla custard ever"
"great product made custard years always makes great custard purchase product amazon great job getting us purchases fast without damage","bird s custard powder"
"life without bird custard hell tried varieties sthg holland recall correctly snuff ordered 6 ensure never run better ice cream half fattening","happily home"
"purchased product previously used always easy locate store shelves prefer powdered custard pudding products ease making taste wonderful trifles pudding type dessert want make amazon gets product almost immediately reasonable price","bird s custard powder"
"hard find locally great price especially free shipping enough share family friends","hard to find   bird s custard powder"
"wonderful handy product thrilled yummy ways used aunt lived ireland 7 years said used time loved","wonderful product "
"actually use mix make vegetable biryani works well purpose slight adjustments recipe <br ><br >i one caveat product recipe given spice mix think amount ghee suggested use 200 grams much easily use 100 grams instead also think easier mix spices yogurts first cover chicken vegetables mix marinate mix pan frying <br ><br >to make vegan biryani substitute vegetables chicken coconut milk yogurt safflower peanut oil ghee <br ><br >overall spice mix makes tastiest biryani outside restaurant even rivals price makes incredible deal 2 bags per package 6 packages makes 12 large batches ~ 13 free shipping definitely order run","makes excellent biryani"
"love tea mild flavor caffeine problem string comes detached bag minute hot water happen happens nearly every time <br ><br >triple leaf tea please fix bag issue frustrating point may look similar tea another company","good tea  bad bag"
"anytime started get even slightest sore throat drink next morning gone always bought world market said discontinued thank god amazon","lifesaver "
"tea helpful congestion tastes great make sure let steep long directions say really seems help feel better","great tasting tea for cold   flu"
"friend sent two boxes christmas thought odd gift go buy herbal tea shortly thereafter flung major stress chaos extreme family crisis started drinking tea help unexpected stomach pains worked time family members got physically ill able carry without catching bug since believer make iced tea daytime drink cup night bed","a healing tea"
"cold weather brew tea pot keep simmering brew lemon ginger ginger lemon tea cup made base husband drink cannot get use medicinal hates licorise helped great deal last winter","medicinal tea that really helps"
"bought folks prepare must say absolute best item ever tasted make farm benson az tastes like heaven highly recommend everything tend slice apples dip tried toast well","absolutely the best"
"feeding liver biscotti years looking healthy treat without additives epileptic dog additives seizure trigger liver biscotti filled bill ingredients top quality bite size bits perfect training muck pockets bite size portions also make possible give rewards without adding pounds problem treats dogs wheat sensitivities anti allergenic recipe enthusiastically recommended","healthy  non fattening  just the right size and delicious "
"excellent training treat every day high value treat used challenging training situations bland serve incentive good size though make crumbs plus liver biscotti fun say","good training treat"
"2 dogs love treat oldest male younger would sit stand go roll etc every trick repertoire even gave command whenever pulled bag liver biscotti female also loves little less silly also never upset stomachs caused allergic reactions finally find place sold bulk e 5 lbs bags since going store time buy also stuff kongs combo regular kibble pumpkin freeze highly recommend treat","my dogs love this treat"
"five five dogs agree would rather munch liver biscotti almost anything else pull treat come running cheers em encourages obey lets em know love em got really rough training spots 90 pound puppy instances slow producing goodie cornered dug pocket think hit","5 woofs "
"dog loves treats sprinkle regular dry dog food gobbles everything fast also use rewards good behavior wonderful nutritious really good hand times","the best dog treat ever"
"lucy loves treats friend daisy know else say fill 210 word minimum","lucy s treats"
"dog anything treats buying five pound bag lasts year dry easy put pocket last forever","yummy treats"
"despite many say think bulldogs picky snacks love liver biscotti hand fed treat used treat ball last longer snacks bullies often chew food perfect size feel bad feeding either low calorie without fillers","bulldogs rule"
"dog named big red loves liver biscoti closest store 54 miles round trip keen driving far found mail service internet 8 pound poodle gets treats","best friend treats"
"perfect training treats dogs go place stored stand get handful play games","great for training "
"even vet approves little treats dogs favorite get small ones small dog","great product"
"dogs go crazy liver biscottis nice crunchy helps clean teeth ingredients wholesome","my dogs love  em "
"dog would stop breathing would fail perform liver biscotti even friends finicky dogs surprised dogs love stuff","my dog loves liver biscotti "
"one thing dog likes liver biscotti dog treats make best rewards training treats used","make your dog happy "
"another reviewer mentioned treats crunchy like 2 reasons dog cannot woof chew last like cruchiness may good teeth treats small crunchy glad found loves like giving","great treats "
"two dogs absolutely love treats 5lb bag size purchased convenient long lasting vendor purchased thorough several emails sent updating status order upcoming delivery price extremely reasonable best part fact pups adore treats good nibble throughout day guilt free doggie reward","excellent dog treats "
"portuguese water dog trained bite sized little treats loves anything good dog","jack s treats"
"mind paying lot quality treat dogs real problem companies price gouge shipping charges obviously enough get amount money high treats also make money shipping charges way cost 10 ship 5lb bag treats 6 dollars would fair accurate reason gave 4 stars instead 5","a great treat  but way overpriced shipping charges"
"four dogs love stuff bite size treat perfect size training dogs like crunch shaped like small square crouton enough huge bag make little gift bags friends dogs","our dogs go crazy for this "
"ultimate treat dogs sizes dogs absolutely crazy liver biscotti love size treat makes easy use daily treats worry feeding size also great using bait conformation showing <br ><br >we love fact natural ingredients preservatives used open bag smell inside smells good might tempted try one <br ><br >we love 5 pound bag multiple dogs bag really cost saver see significant savings buying small 8oz bags <br ><br >it also makes great gift dog loving owning friends spread joy liver biscotti","liver biscotti rules in our house"
"fantastic product pet treats great smell freeze dried liver treats beat leaps bounds owner 2 fussy cockers","rich j wyzykoski"
"pricey essentially small bag hard crumbs <br >maybe dog spoiled treats like third class treats definitely bottom doggie treat hierarchy often simply walk away glad people like buying","waste of money"
"omg things delicious candy sweets eater usually ohman liked much may two oops three","deeee licious "
"messing around amazon ran add beer nuts noticed someone left review pretty funny beer lover try well cant drink beer without story back guy got started 50 soon beer nuts bars around america iican see pretty darn good","u talked me into it mr  beer nut"
"used eat beer nuts time kid sorta like honey roasted peanuts unique flavor never tried em like honey roasted peanuts love","mmmmmmmm   beer   nuts "
"great product wish still available bars pubs stores given cans several golf buddies agree glad still available line","jgk likes beer nuts"
"reviewers must short memory eating beer nuts since childhood ones ordered tasted like always sweet salty bought locally could find anymore great product price 6 12oz cans","just as i remembered "
"second purchase 12 oz beer nuts peanuts 6 pack level complaints shipment arrived without adverse settling clumping inside cans although flavor may bit duller abiding childhood memory may attributable instead diminished taste buds middle ager nonetheless everyone know tried product likes either stand alone snack adjunct couple beers beer nuts tasty understated winner","mild sweet and salty blend"
"second time ordering beer nuts find anywhere local stores shipment came 6 cans per order 2 cans damaged called amazon customer service next day another 6 cans appeared door <br ><br >the nuts always great unless damaged nuts stale customer service shining star thank order","great customer service"
"husband beer nut lover looked many stores<br >and could find small bags love large cans","hard to find beer nuts"
"76 years old eaten nuts many years ones mailed tastey problem jostled around lot red skins came went bottom big deal would better stayed nuts order amazon","beer nuts"
"always available local stores love especially good watching football games favorite malt beverage good deal super fast delivery nuts fresh tasty always","the best "
"long time classic sweet honey roasted peanuts right balance go nice cold brew amazon price really great","salty with a hint of sweetness"
"remember well beer nuts used savor days big redskin type peanut surrounded glaze honey sweetness punctuated salty tang remember well nuts palm hand reminiscent beer nuts way yes discernible salty taste sweetness imagined real plus nuts simply common inexpensive spanish peanuts short would ask beer nuts happened","what happened"
"ate beer nuts childhood years 20 could buy upstate ny great friend mine said looking checked net find site <br >they horrible dissapointment taste like spanish peanuts salt beer nuts remember sweet salty like label says peanuts bland bland bland","beer nuts"
"flavor old beer nuts almost entirely gone beer nuts plain spanish peanuts slight flavor hardly noticeable extremely disappointing","the flavor is gone"
"best way buy beer nuts <br ><br >perhaps product exposed high heat whole lot shaking coating flavoring nuts even though individual cans sealed like nuts sitting bowl long time hot humid day","not my best experience"
"good stuff eating right sweet basil tomato sauce pasta neat shape cooks nicely colorful tasty great al dente","yum"
"castellana pastas absolutely wonderful great taste hold unique shapes grab lots sauce dishes nice bite great price item","beautiful and delicious"
"<br ><br >oh love pasta thick chewy absolutely extraordinary made authentic flavorings boot red flavored tomato red beet powder green flavored spinach powder basil powder black pastas flavored squid ink white au naturale yellow pasta flavored turmeric orange carrot powder rainbow beauty natural delectable flavor <br ><br >the pasta shaped like little cresent moons rough exterior absorb whatever sauce oil might use pasta flavorful enjoy best good quality olive oil celtic sea salt sometimes add tarragon fresh rosemary usually savor pasta alone also excellent olive oil fresh grated parmesan chees top <br ><br >with 1g fat 10g sodium also heart healthy meal 7g protein 42g carbos added sugars preservatives <br ><br >it perfect easy dish impress company date <br ><br >to able buy best packaged pasta whole wide world half price bulk amazon wonderful privilege disappointed <br ><br >","superb pasta "
"yes expensive worth yet find marinade stands one add crushed garlic sauteed onions vegetables choice mix sauce whatever meat choose prefer using resulting marinade adding fresh rosemary lamb two days believe oohs aahhhs get table worth every penny","expensive but worth it "
"traditional bbq sauce terms flavor could easily use thick strong hotness hot hotter spicy bbq sauce made much better ingredients bbq sweet hot sauces tastes fruity rather sugary sweet would great almost anything grilled stir fried incredible pork beans let price scare away outstanding condiment","one of the best sweet hot sauces out there"
"always wonderful able give chocolates gift receive great know send someone chocolates guarantee arrive melted good service excellent chocolates","chocolot "
"love strawberries dipped chocolate locally could find dark chocolate type glad found amazon wonderful","much better than milk chocolate "
"best dipping chocolate ever dipped strawberries pretzels marshmallows wonderful whole family loves great bring friends occasions dont forget wax paper otherwise stick plate","great dipping chocolate right out from microwave "
"current product certified organic raw cacao powder ecuador sold saaqin terrible quality somehow reviews similar item produced alive aware associated product cocoa received ordering page made organic herbal essence alive aware delicious organic herbal essence another warning receiving 5lb bag organic herbal essence hating ordered alive aware certified organic raw cacao powder ecuador 2 pounds shipped halaleveryday thought sure would get alive aware given product title halaleveryday actually shipped organic herbal essence grr","warning  reviews do not reflect actual product  feb 19  2012 "
"tried couple different cocao powders one step ones richness bean dark smooth flavor within powder better product","awesome cacao"
"use lot raw cocoa power protein drinks high price cocoa commodity market excellent price especially organic product cocoa less tasty regular brand well price main complaint product came sealed plastic bag label would like see organic label well nutrition info product","the price is right"
"another reviewer stated many reviews product actually different raw cacao powder alive aware ecuadorian criollo raw cacao powder ordered 3 months ago awesome almost went reorder amazon account directed product saquin ordered expensive base price got free shipping 15 bucks big price increase know still alive aware mid february recently something changed <br >i really confused irritated review alive aware raw cacao got switched different brand different seller mean cannot say stock currently unavailable like stuff would switch reviews around <br >seems underhanded transfer reviews different product newer one especially since reviewer stated comparable stuff saquin terrible compared getting alive aware also price increase pretty shocking guess market raw cacao higher demand bad awesome price really awesome cacao <br >i recently order alive aware raw criollo cacao nibs highly recommend description states alive aware another brand <br >frankly beginning wonder brands vendors ship amazon know warehouses different parts country little suspicious wish transparency comes amazon comes different company seems like halal everyday alive aware etc almost interchangable since amazon took liberty take reviews alive aware post halaleveryday saquin really different companies auspices amazon amazon different name like reviewer said ordered something said alive aware description came saquin halal everyday knows want transparency trust ordering amazon <br ><br >for going seek another source amazon stands behind cacao important health benefits ecological social impacts harvested know getting top notch certified organic raw cacao amazon going wishy washy sneaky going elsewhere wagging finger amazon <br ><br >i think leave following review alive aware case bring back <br ><br >heavens besty stuff rocks good value maybe best def shopped around tried different brands raw organic cacao powder certainly top notch kudos alive aware offering reasonable price <br >i raw foodie per say try follow neo paleo protocol includes super foods raw cacao properly prepared enough natural sweetener think truly guilt free pleasure loaded antioxidants probably know go ahead get big bag share friends family turn super groovy super food gods theobroma say <br >my favorite way consume actually hot cocoa whisk gently heated fresh raw whole milk cream hot preserve much nutrients possible know 100 raw hey love add enough sweetener like sorghum molasses scant spoon bit maca powder dash real salt thoroughly whisked top spoonful evo coconut oil yumm converted everyone even kids babysit used prefer swiss miss make concentrated warm cocoa beverage sans maca coconut oil stir raw milk half gallon raw chocolate milk lightly sweetened better believe goes fast love family get good old fashioned grass fed animal fats bioavailable vitamins x factor read weston price loads antioxidants cacao boot plus cacao activates seratonin receptors sorry bit fuzzy know makes feel good happy <br >also process evo coconut oil sweetener sorghum honey maple syrup cuisinart heavenly truffles refrigerate proper texture due coconut oil often toss soaked dried nuts dried unsulfured fruit shredded coconut healthy truffle energy bars process batches kind homogenous like lara bars cheaper packaging even organic raw <br >go buy huge bag share goodness healthier happier guarantee peace","not what i originally ordered  boo  amazon "
"cocoa powder deep fruity taste highly recommend recently bought vitamix blender means make 5 smoothies day cocoa powder plus almond milk frozen fruit yogurt dash maple syrup makes excellent milk shake disclaimer like 99 9 chocolate take positive review grain salt","great tasting cocoa powder"
"almost identical ghiradeli great chocolate taste raw organic best also whip whipped sprouted almonds strvia make ball snacks yummmm","outrageous"
"first time ordering raw cacao powder pleasantly surprised item packed shipped professionally love resealable bag initially tasted cacao dipping finger bag taste anything placed two tablespoons homemade vegetable fruit juice normally tastes like bananas pleasantly surprised tasted like bona fide chocolate shake one best deals find online certified organic raw cacao tastes great one healthiest foods world recommend seller looking purchase","alive and aware organic raw cacao powder"
